No.,Alloys,¦¤Hsss£¬MPa,E,K,G,¦Í,Rm,Ri,Rc,Vm,Hs,Hc,VEC,e/a,Ew,Xp,Xa,Xm,Xr,Ec,¦ÄE,¦ÄK,¦ÄG,¦Ä¦Í,¦ÄRm,¦ÄRi,¦ÄRc,¦ÄVm,¦ÄHs,¦ÄHc,¦ÄVEC,¦Äe/a,¦ÄEw,¦ÄXp,¦ÄXa,¦ÄXm,¦ÄXr,¦ÄEc,¦¤E,¦¤K,¦¤G,¦¤¦Í,¦¤Rm,¦¤Ri,¦¤Rc,¦¤Vm,¦¤Hs,¦¤Hc,¦¤VEC,¦¤e/a,¦¤ew,¦¤Xp,¦¤Xa,¦¤Xm,¦¤Xr,¦¤Ec
49,Co5(CrFeNiNn)95,809,221.35,155.6838,87.6525,0.266063,129.38,60.1,116.475,7.04525,3.698125,5.38525,7.8125,1.7625,4.584375,1.71,1.7735,1.860125,1.640625,3.95775,0.147097,0.137098,0.177361,0.147635,0.032689,0.021145,0.009403,0.041843,0.067954,0.040944,0.187787,0.241447,0.082696,0.093659,0.046617,0.083767,0.042898,0.149441,0.015955,0.012295,0.023421,0.009181,0.000607,0.000237,3.99E-05,0.000982,0.002103,0.000847,0.018483,0.043543,0.003535,0.002965,0.00111,0.002197,0.001056,0.016022
50,Co15(CrFeNiNn)85,797,220.05,158.4013,87.0575,0.270688,128.94,60.3,116.425,7.00575,3.719375,5.40575,7.9375,1.7875,4.628125,1.73,1.7805,1.845375,1.646875,4.00325,0.141018,0.13692,0.170085,0.146022,0.032582,0.022157,0.008985,0.043063,0.066046,0.040135,0.18076,0.228854,0.082239,0.093831,0.045393,0.083199,0.041911,0.143626,0.014891,0.012467,0.021858,0.0096,0.00061,0.000164,3.69E-05,0.000718,0.002081,0.000669,0.014334,0.039125,0.002604,0.003408,0.001116,0.001909,0.00083,0.015435
51,Co2CrFeNiMn,741,217.6667,163.3833,85.96667,0.279167,128.1333,60.66667,116.3333,6.933333,3.758333,5.443333,8.166667,1.833333,4.708333,1.766667,1.793333,1.818333,1.658333,4.086667,0.12797,0.131155,0.154448,0.138122,0.031421,0.022654,0.008104,0.043379,0.061167,0.037674,0.164536,0.203279,0.078617,0.090487,0.042181,0.079975,0.039144,0.130539,0.013077,0.01168,0.018849,0.00998,0.000623,0.000141,3.28E-05,0.000517,0.001967,0.000551,0.011662,0.033058,0.002456,0.003738,0.001062,0.002305,0.000566,0.013581
52,NiCoCrFeNn,678,219.4,159.76,86.76,0.273,128.72,60.4,116.4,6.986,3.73,5.416,8,1.8,4.65,1.74,1.784,1.838,1.65,4.026,0.137724,0.136025,0.166139,0.144491,0.032393,0.022458,0.008761,0.043395,0.064899,0.039594,0.176777,0.222222,0.081607,0.09338,0.044646,0.082613,0.041283,0.140382,0.014466,0.012387,0.02104,0.009875,0.000619,0.000132,3.54E-05,0.000598,0.00207,0.000588,0.009375,0.037037,0.00259,0.003567,0.001112,0.002056,0.000727,0.015026
53,Ni5(CoFeNn)95,758,205.6998,155.0073,80.59155,0.283084,127.5133,60.26663,116.2666,7.014322,3.765008,5.428174,8.10005,2,4.564182,1.741671,1.800835,1.807499,1.651836,3.892181,0.027818,0.163598,0.018037,0.0961,0.017113,0.020739,0.004676,0.04133,0.036152,0.028367,0.112026,2.22E-16,0.083959,0.097377,0.022335,0.088592,0.02782,0.170502,0.000405,0.015823,0.000154,0.005542,0.000162,0.000256,1.09E-05,0.000726,0.000603,0.000422,0.005792,-1,0.003213,0.005742,0.000252,0.005205,0.000296,0.018765
54,Ni10(CoFeNn)90,816,205.4,156.18,80.35,0.2845,127.36,60.2,116.2,6.992,3.78,5.443,8.2,2,4.595,1.75,1.805,1.805,1.657,3.921,0.027815,0.161222,0.021744,0.095439,0.017442,0.020748,0.005164,0.04257,0.038881,0.029863,0.119487,0,0.086018,0.096468,0.023797,0.086549,0.03006,0.167664,0.00032,0.01592,0.000273,0.005671,0.000171,0.000265,1.33E-05,0.000728,0.000661,0.000458,0.006246,-1,0.003353,0.005878,0.000276,0.005023,0.000323,0.0178
55,Ni15(CoFeNn)85,727,205.1004,157.3516,80.1087,0.285915,127.2069,60.13343,116.1334,6.9697,3.794978,5.457811,8.29985,2,4.625787,1.758321,1.80916,1.802504,1.662159,3.94979,0.027734,0.158525,0.024572,0.094526,0.017683,0.020697,0.00555,0.043554,0.04101,0.031035,0.125008,0,0.087465,0.095332,0.024949,0.084424,0.031815,0.164532,0.000247,0.015886,0.000378,0.005745,0.000178,0.000272,1.54E-05,0.000759,0.000708,0.000486,0.00658,-1,0.003451,0.005957,0.000296,0.004836,0.000368,0.017281
56,Ni20(CoFeNn)80,765,204.8,158.5267,79.86667,0.287333,127.0533,60.06667,116.0667,6.947333,3.81,5.472667,8.4,2,4.656667,1.766667,1.813333,1.8,1.667333,3.978667,0.027575,0.155494,0.026802,0.093357,0.017842,0.020585,0.005858,0.044298,0.042646,0.031925,0.128953,0,0.088357,0.093962,0.02584,0.082202,0.033175,0.161088,0.000184,0.015727,0.000463,0.005765,0.000183,0.000276,1.72E-05,0.000783,0.000744,0.000508,0.006803,-1,0.003509,0.005981,0.000311,0.004642,0.00042,0.017351
57,CoFeNiNn,784,204.5,159.7,79.625,0.28875,126.9,60,116,6.925,3.825,5.4875,8.5,2,4.6875,1.775,1.8175,1.7975,1.6725,4.0075,0.027336,0.152135,0.028561,0.091934,0.017918,0.020412,0.006096,0.044806,0.043844,0.032557,0.131533,0,0.088724,0.092358,0.026494,0.079884,0.034184,0.157338,0.000132,0.015449,0.000518,0.005735,0.000186,0.000208,0,0.0008,0.000769,0.000523,0.00692,-1,0.003527,0.005951,0.000322,0.004441,0.000469,0.017254
58,CoFeNi2Nn,792,203.6,163.22,78.9,0.293,126.44,59.8,115.8,6.858,3.87,5.532,8.8,2,4.78,1.8,1.83,1.79,1.688,4.094,0.026101,0.139952,0.03166,0.086072,0.017654,0.019502,0.006462,0.044938,0.045201,0.033064,0.132522,0,0.086915,0.086066,0.027213,0.072238,0.035426,0.144089,0.000139,0.013946,0.000529,0.005347,0.000185,0.000268,2.09E-05,0.000879,0.000961,0.000581,0.008264,-1,0.003624,0.004938,0.000376,0.003789,0.000533,0.016034
59,AlCoCrFeNi4,1538,196.125,160.7375,76.0625,0.3,128.775,58.625,116.875,7.16875,3.8375,5.38125,8.25,2,4.86,1.8,1.802875,1.75875,1.67125,4.24,0.274714,0.206878,0.297103,0.124722,0.050972,0.059663,0.027539,0.152924,0.067937,0.098698,0.289072,0.25,0.070965,0.083333,0.05704,0.057455,0.059643,0.080249,0.0515,0.035396,0.053717,0.011111,0.001554,0.0027,0.000597,0.019488,0.001984,0.007412,0.050505,0,0.001677,0.003086,0.001386,0.002352,0.001776,0.005012
60,Al0.3CoCrFeNi,426,213.9535,163.107,84.22326,0.284884,129.3395,59.76744,116.8605,7.111628,3.744186,5.365349,7.883721,1.837209,4.752093,1.77907,1.779977,1.777209,1.64907,4.238837,0.232888,0.158595,0.259796,0.152982,0.044952,0.050882,0.021089,0.117146,0.069492,0.076679,0.248033,0.285863,0.065276,0.079082,0.053686,0.071969,0.051001,0.062359,0.031539,0.020181,0.032951,0.015993,0.000749,0.001825,0.000326,0.011506,0.002577,0.004033,0.026722,0.046467,0.000998,0.002324,0.001211,0.003633,0.000864,0.002776
61,CoFeNi,444,206.6667,172.9333,79.66667,0.303333,125.7333,60,115.6667,6.783333,3.9,5.573333,9,2,4.883333,1.866667,1.84,1.716667,1.696667,4.37,0.02315,0.053805,0.032946,0.031082,0.009573,0.02357,0.004076,0.032328,0.031404,0.020528,0.090722,0,0.056906,0.025254,0.01775,0.021447,0.026504,0.015294,0.000304,0.001652,0.000613,0.000483,5.26E-05,0.000278,8.31E-06,0.000588,3.04E-18,0.00022,0,-1,0.001864,0.000319,9.76E-19,0.000245,0.000371,0.000134
62,Al0.5CoCrFeNiTi0.2,1967,190.7368,153.6632,74.54737,0.29807,130.1474,66.07018,117.7018,7.336491,3.794737,5.384035,8.122807,1.736842,4.702807,1.780702,1.772368,1.652982,1.648947,4.099123,0.316061,0.195679,0.345446,0.149435,0.049783,0.215802,0.032066,0.149474,0.083102,0.090262,0.298963,0.349909,0.062379,0.085095,0.06743,0.174385,0.066566,0.100572,0.037154,0.022573,0.052362,0.015187,0.000825,0.035972,0.000517,0.011525,0.002385,0.005212,0.03485,0.045591,0.001564,0.002159,0.001677,0.021075,0.001391,0.003874
63,Al2(FeCoNiCrMn)98,1062,216.4132,158.0695,85.54927,0.274539,129.0095,60.19208,116.5719,7.046256,3.725402,5.389091,7.900039,1.823991,4.642603,1.735202,1.780581,1.834042,1.646401,4.013285,0.168649,0.155337,0.194009,0.147556,0.035644,0.032903,0.013477,0.073476,0.064904,0.052668,0.198125,0.23582,0.081681,0.094697,0.046278,0.083341,0.043723,0.141165,0.01627,0.01134,0.023367,0.01021,0.000553,0.000571,0.000102,0.003506,0.001982,0.001186,0.013818,0.038175,0.002555,0.003328,0.001031,0.002248,0.000773,0.014454
64,Al4(FeCoNiCrMn)96,975,213.4332,156.3828,84.34132,0.276075,129.2983,59.98464,116.7435,7.106375,3.720814,5.362243,7.800307,1.847926,4.635223,1.730415,1.777171,1.830092,1.642811,4.000599,0.195013,0.172483,0.218656,0.150275,0.038461,0.040541,0.016773,0.092976,0.064886,0.06286,0.217514,0.24729,0.081725,0.095928,0.047785,0.084011,0.045945,0.14188,0.018096,0.01066,0.025723,0.01051,0.000502,0.001107,0.000199,0.006621,0.001895,0.002289,0.015144,0.039127,0.002397,0.003094,0.000952,0.002244,0.000817,0.01389
65,Al7(FeCoNiCrMn)93,1109,208.9509,153.8458,82.5244,0.278385,129.7327,59.67262,117.0015,7.196801,3.713914,5.32186,7.650298,1.883929,4.624122,1.723214,1.77204,1.824152,1.637411,3.981518,0.229574,0.195471,0.251804,0.153786,0.042084,0.049563,0.020545,0.114277,0.064814,0.075307,0.244066,0.261381,0.081731,0.097624,0.049847,0.084915,0.048946,0.14283,0.030929,0.01798,0.032573,0.010901,0.000749,0.001832,0.000327,0.010607,0.001768,0.003815,0.025454,0.040243,0.002272,0.002752,0.000853,0.002374,0.000879,0.013057
66,Al8(FeCoNiCrMn)92,1115,207.4425,152.9921,81.91297,0.279163,129.8789,59.56762,117.0883,7.227231,3.711592,5.30827,7.599816,1.896044,4.620386,1.720791,1.770314,1.822153,1.635593,3.975097,0.240231,0.202619,0.262171,0.154822,0.043167,0.052168,0.02161,0.120101,0.064777,0.078965,0.252442,0.265401,0.081717,0.098154,0.05049,0.085192,0.049874,0.143115,0.035124,0.020307,0.037025,0.011016,0.000839,0.002055,0.000365,0.011781,0.001727,0.004315,0.02881,0.040539,0.002293,0.002639,0.000826,0.002416,0.000899,0.012781
67,Al0.3CoCrFeNiMo0.1,782,216.5682,165.3364,85.16364,0.285455,129.5818,60.11364,117.1364,7.163182,3.7375,5.402045,7.840909,1.818182,4.748636,1.779545,1.772932,1.780909,1.641136,4.2975,0.240831,0.178158,0.264111,0.1515,0.046019,0.062668,0.025906,0.124283,0.069813,0.087479,0.249124,0.293684,0.064753,0.078177,0.059314,0.072294,0.059762,0.108211,0.031079,0.020028,0.03237,0.015822,0.000689,0.001852,0.000295,0.010674,0.00244,0.00414,0.025895,0.04375,0.001601,0.002311,0.00104,0.003408,0.001,0.007827
68,Al0.3CoCrFeNiTi0.1,1158,211.7273,161.8636,83.34545,0.285682,129.7227,59.95455,117.2045,7.191818,3.730682,5.352955,7.795455,1.840909,4.7425,1.772727,1.770886,1.779091,1.641591,4.252727,0.242649,0.165822,0.268564,0.15192,0.048356,0.054159,0.028332,0.135867,0.072918,0.07748,0.258852,0.282336,0.066007,0.081891,0.063077,0.071409,0.058802,0.065071,0.030548,0.019515,0.033349,0.015898,0.000663,0.001822,0.000352,0.010389,0.00236,0.003869,0.025645,0.047252,0.001506,0.002104,0.001046,0.003478,0.000991,0.002797
69,CoCrFeNiMnV0.25,771,215.0476,159.6762,84.85238,0.277619,129,60.61905,116.6667,7.049524,3.709524,5.395238,7.857143,1.809524,4.633333,1.733333,1.771905,1.85619,1.640476,4.087143,0.164304,0.132837,0.193886,0.157366,0.033003,0.027167,0.013314,0.058183,0.068302,0.042434,0.19356,0.217006,0.08153,0.093083,0.053444,0.091071,0.048126,0.150622,0.016778,0.01176,0.02431,0.010921,0.000538,0.000229,9.80E-05,0.00154,0.001767,0.00064,0.014105,0.037594,0.002366,0.00317,0.000872,0.001405,0.000849,0.015531
70,CoCuFeNiMn,1464,189.6,155.32,73.38,0.299,127.08,67.2,116.2,6.962,3.9,5.558,9,1.8,4.68,1.8,1.824,1.654,1.688,3.904,0.15937,0.150851,0.172452,0.104912,0.016252,0.214905,0.00644,0.041256,0.054393,0.038343,0.157135,0.222222,0.079549,0.086066,0.024665,0.190101,0.035426,0.153881,0.01937,0.010161,0.022922,0.006342,0.000135,0.035537,2.07E-05,0.000554,0.000888,0.000693,0.007407,0.037037,0.003064,0.004938,0.000314,0.024068,0.000533,0.010851
71,Al0.7Cr2Fe2Ni5.3,955,208.9,163.233,81.374,0.2888,128.742,58.97,116.5,7.0567,3.8115,5.4232,8.31,1.87,4.8291,1.792,1.79931,1.7816,1.6704,4.2665,0.233347,0.156374,0.263173,0.144543,0.045704,0.046345,0.022301,0.120917,0.074343,0.080159,0.257361,0.269032,0.071436,0.077997,0.056512,0.065653,0.056133,0.064322,0.030927,0.020281,0.034759,0.014886,0.000861,0.00162,0.000369,0.012173,0.00288,0.004358,0.028303,0.042323,0.001435,0.002292,0.001377,0.002928,0.001137,0.002952
72,Al0.5CoCrFeNiMn,1312,191.1579,155.4035,74.58596,0.299825,129.7404,65.96491,117.3509,7.255088,3.8,5.389649,8.157895,1.736842,4.701754,1.784211,1.777632,1.665614,1.653509,4.115263,0.312836,0.185372,0.344696,0.154492,0.04459,0.216093,0.023486,0.12685,0.080434,0.089119,0.291158,0.349909,0.062688,0.081855,0.058771,0.182804,0.059315,0.10904,0.036671,0.023355,0.052213,0.015558,0.000905,0.036364,0.000371,0.012554,0.00243,0.005249,0.035,0.045591,0.001573,0.002212,0.000877,0.021686,0.001069,0.004048
73,CoCrFe,2991,233,167.1667,92.76667,0.27,129.5333,61,116.6667,6.996667,3.666667,5.38,7.666667,1.666667,4.666667,1.766667,1.763333,1.796667,1.633333,4.256667,0.139644,0.060629,0.171815,0.160018,0.035975,0.023184,0.008081,0.03401,0.063311,0.034774,0.162681,0.282843,0.050508,0.070597,0.046381,0.080828,0.035112,0.028082,0.01002,0.001838,0.015177,0.014632,0.00074,0.000269,3.27E-05,0.000667,0.002314,0.000691,0.015123,0.04,0.001276,0.002848,0.001233,0.003662,0.000666,0.000442
74,Al5(CoCrFe)95,3783,224.8459,162.566,89.43667,0.274002,130.217,60.44972,117.0835,7.146908,3.658329,5.314467,7.433217,1.733367,4.647324,1.753327,1.755813,1.788829,1.625163,4.213312,0.211821,0.137483,0.23769,0.166345,0.041714,0.045755,0.017388,0.097186,0.06264,0.063755,0.213251,0.313657,0.052655,0.076852,0.049087,0.081396,0.04078,0.052682,0.022525,0.014369,0.024291,0.016198,0.000476,0.001313,0.000209,0.007952,0.002156,0.002593,0.015953,0.04919,0.001511,0.002197,0.000949,0.004067,0.000645,0.001831
75,Al10(CoCrFe)90,5252,216.7,157.97,86.11,0.278,130.9,59.9,117.5,7.297,3.65,5.249,7.2,1.8,4.628,1.74,1.7483,1.781,1.617,4.17,0.266855,0.184956,0.290892,0.170854,0.046061,0.059471,0.022597,0.127292,0.061872,0.082152,0.254588,0.333333,0.054431,0.082085,0.051332,0.081732,0.045281,0.068023,0.045622,0.027404,0.047722,0.01739,0.000668,0.002664,0.000402,0.013696,0.001858,0.004891,0.030324,0.055556,0.001709,0.00218,0.000686,0.004184,0.000766,0.003414
76,Al0.9CoCrFeNi,4475,196.3265,152.3429,77.11837,0.292857,131.0367,58.57143,117.8571,7.465306,3.714286,5.206735,7.285714,1.979592,4.694286,1.744898,1.759531,1.760408,1.627143,4.134898,0.338079,0.247146,0.362596,0.157312,0.054128,0.073171,0.029937,0.16436,0.06907,0.110134,0.33391,0.314391,0.070133,0.091945,0.059633,0.0727,0.060382,0.090081,0.075975,0.046581,0.080029,0.016317,0.001425,0.003923,0.000674,0.020971,0.001944,0.00871,0.061593,0.049952,0.001574,0.003415,0.001166,0.00378,0.0017,0.005946
77,Al0.875CoCrFeNi,4561,196.9744,152.7385,77.37949,0.292564,130.9744,58.61538,117.8205,7.452308,3.715385,5.212564,7.307692,1.974359,4.69641,1.746154,1.760282,1.761026,1.627949,4.138718,0.334677,0.244462,0.359204,0.157249,0.053882,0.072547,0.029706,0.163253,0.069103,0.109176,0.331091,0.313845,0.069995,0.091562,0.059461,0.072695,0.060108,0.089299,0.074536,0.045793,0.078454,0.016321,0.001411,0.003869,0.000666,0.020795,0.001966,0.008572,0.060527,0.049924,0.001555,0.003372,0.001152,0.003777,0.001678,0.005856
78,AlCoCr1.5Cu0.5FeNi,5191,195.5833,150.4833,77.05833,0.290833,131.3833,61.83333,117.9167,7.458333,3.720833,5.234167,7.416667,1.833333,4.6675,1.741667,1.7555,1.721667,1.629167,4.065833,0.354211,0.23737,0.383209,0.173323,0.051822,0.179584,0.028224,0.155882,0.078443,0.108621,0.341359,0.374828,0.065676,0.09216,0.059784,0.136811,0.061148,0.09606,0.06863,0.041121,0.072568,0.019311,0.001286,0.025442,0.000601,0.019174,0.002473,0.008146,0.058073,0.066116,0.00178,0.003022,0.000991,0.011575,0.001583,0.004587
79,AlCoCrCuFeNi0.5,3845,181.6364,146.0273,71.07273,0.300909,131.2545,65.18182,118.0909,7.526364,3.768182,5.255455,7.636364,1.818182,4.637273,1.754545,1.762364,1.634545,1.635455,3.976364,0.381348,0.248149,0.411907,0.158084,0.051448,0.232007,0.028535,0.15764,0.079266,0.114795,0.354354,0.3937,0.060192,0.092106,0.057753,0.176455,0.062212,0.105419,0.067753,0.042196,0.072039,0.016512,0.00138,0.040211,0.000622,0.019358,0.002383,0.009147,0.06661,0.075909,0.001111,0.003705,0.001223,0.020925,0.001859,0.003778
80,Al1.5CrCuFeNi,5089,168.1818,135.9818,65.45455,0.304545,132.8364,63.81818,118.8182,7.821818,3.745455,5.13,7.181818,1.909091,4.585455,1.718182,1.745364,1.630909,1.619091,3.89,0.446712,0.287495,0.480469,0.162899,0.055028,0.24747,0.032855,0.172619,0.084133,0.134435,0.423247,0.415133,0.064253,0.098702,0.063442,0.176947,0.070443,0.111446,0.086439,0.054457,0.100721,0.017465,0.001557,0.046087,0.00073,0.020109,0.002678,0.011022,0.090108,0.088642,0.00272,0.003985,0.00139,0.020738,0.002282,0.003976
81,Al2CrCuFeNi,5885,160,130.9167,62.18333,0.308333,133.7,62.66667,119.3333,8.003333,3.725,5.041667,6.833333,2,4.56,1.7,1.734333,1.631667,1.606667,3.848333,0.480492,0.313381,0.514688,0.159345,0.056559,0.248866,0.034438,0.178178,0.083016,0.143279,0.458251,0.408248,0.064572,0.101885,0.064664,0.169342,0.072644,0.113678,0.099609,0.059915,0.113419,0.016947,0.001634,0.047137,0.000731,0.019191,0.002703,0.01233,0.102419,0.041667,0.002761,0.004037,0.001393,0.019043,0.00234,0.004015
82,Al0.15CrFe1.5Ni0.5,3611,224.127,158.7079,88.48571,0.270635,130.4381,59.52381,116.9048,7.193651,3.65873,5.314444,7.444444,1.730159,4.592698,1.738095,1.756175,1.787619,1.623968,4.205873,0.212182,0.124156,0.243548,0.160708,0.040117,0.042633,0.018079,0.092042,0.066796,0.064015,0.224236,0.312466,0.053678,0.06985,0.050622,0.083097,0.043852,0.051311,0.020886,0.013163,0.025992,0.013497,0.000319,0.001207,0.0002,0.007239,0.002171,0.002386,0.016053,0.052678,0.002208,0.0014,0.000864,0.004443,0.00091,0.001644
83,AlCoCrCu0.5Ni,4179,182.8889,147.3111,71.93333,0.3,131.7556,62.44444,118.3333,7.565556,3.755556,5.202222,7.444444,1.888889,4.723333,1.744444,1.757333,1.702222,1.634444,4.014444,0.40225,0.276661,0.433067,0.169239,0.056683,0.203983,0.031368,0.175095,0.082893,0.124612,0.385757,0.390191,0.071113,0.101512,0.064896,0.149077,0.068805,0.108702,0.082722,0.052787,0.089114,0.019753,0.001576,0.032073,0.000704,0.022607,0.002263,0.010483,0.07084,0.076125,0.001931,0.00348,0.00119,0.014822,0.001892,0.005276
84,Al0.5CoCrCuFeNiV1.2,4973,181.7313,155.791,70.42388,0.310299,130.4657,65.8209,118.0448,7.41403,3.725373,5.328507,7.686567,1.776119,4.641791,1.756716,1.740672,1.748358,1.623134,4.293582,0.327807,0.170658,0.365092,0.159537,0.042999,0.199819,0.025705,0.125412,0.089521,0.087539,0.320418,0.31999,0.066192,0.085301,0.075063,0.196391,0.071431,0.13829,0.041249,0.019934,0.05967,0.015594,0.000649,0.031349,0.000259,0.008987,0.002416,0.004109,0.027494,0.033063,0.001789,0.001503,0.00245,0.021805,0.002022,0.010036
85,Al0.5CoCrCuFeNiV1.4,4988,180.1739,155.8551,69.73623,0.312029,130.5855,65.7971,118.1594,7.44029,3.713043,5.318406,7.608696,1.782609,4.631884,1.752174,1.734565,1.762029,1.618116,4.323043,0.329632,0.168114,0.367765,0.159597,0.042665,0.196985,0.02592,0.124828,0.09057,0.087122,0.324425,0.314877,0.066527,0.085599,0.076973,0.197203,0.072852,0.140973,0.041848,0.019368,0.0607,0.015489,0.00061,0.030508,0.000243,0.008461,0.002496,0.003929,0.028408,0.031641,0.001811,0.001422,0.002616,0.021713,0.002164,0.010561
86,Al0.5CoCrCuFeNiV1.6,5162,178.7042,155.9155,69.08732,0.313662,130.6986,65.77465,118.2676,7.46507,3.701408,5.308873,7.535211,1.788732,4.622535,1.747887,1.728803,1.77493,1.61338,4.350845,0.331171,0.165681,0.370088,0.159474,0.042329,0.194267,0.026089,0.124189,0.091449,0.086684,0.327983,0.31,0.066781,0.085809,0.078611,0.197658,0.074064,0.143095,0.042365,0.018833,0.061608,0.015364,0.000575,0.029711,0.000227,0.007981,0.002626,0.003762,0.029243,0.030328,0.001829,0.001488,0.002741,0.02158,0.002273,0.010941
87,Al0.5CoCrCuFeNiV1.8,5199,177.3151,155.9726,68.47397,0.315205,130.8055,65.75342,118.3699,7.488493,3.690411,5.299863,7.465753,1.794521,4.613699,1.743836,1.723356,1.787123,1.608904,4.377123,0.332455,0.16335,0.3721,0.1592,0.041994,0.191659,0.026217,0.123507,0.092182,0.086231,0.331141,0.305344,0.066966,0.085945,0.080019,0.197824,0.075098,0.144763,0.042808,0.018327,0.062407,0.015223,0.000543,0.028954,0.000231,0.007541,0.002724,0.003606,0.029997,0.029112,0.001842,0.001535,0.002856,0.021415,0.002354,0.011199
88,Al0.5CoCrCuFeNiV2,5093,176,156.0267,67.89333,0.316667,130.9067,65.73333,118.4667,7.510667,3.68,5.291333,7.4,1.8,4.605333,1.74,1.7182,1.798667,1.604667,4.402,0.333512,0.161115,0.373833,0.158804,0.041661,0.189153,0.026311,0.122792,0.09279,0.085765,0.333941,0.30089,0.06709,0.086015,0.081231,0.197754,0.075979,0.146059,0.043186,0.017848,0.063107,0.015069,0.000513,0.028235,0.000235,0.007137,0.002795,0.00346,0.030679,0.027984,0.001852,0.001568,0.002989,0.021224,0.002413,0.011345
89,Al0.682CoCrFeNiMn,4125,201.4678,149.6104,79.49109,0.282242,130.458,59.15171,117.4322,7.347765,3.702394,5.254442,7.399859,1.944034,4.60559,1.711193,1.763475,1.814234,1.628395,3.949662,0.279064,0.228707,0.300397,0.158271,0.046905,0.061055,0.025156,0.138815,0.064571,0.091632,0.283483,0.278387,0.081582,0.100057,0.052804,0.086152,0.053201,0.144073,0.051101,0.028842,0.053946,0.011397,0.001145,0.002872,0.000496,0.015639,0.001565,0.006095,0.04192,0.041356,0.002367,0.002207,0.000864,0.002568,0.001127,0.011706
90,Al0.5CrFe1.5Ni0.5Mn,3307,206.3333,143.6111,81.64444,0.271111,131.4222,58.88889,117.5556,7.446667,3.633333,5.198889,7,1.888889,4.458889,1.666667,1.743667,1.832222,1.606667,3.856667,0.276964,0.211116,0.299513,0.163293,0.042274,0.056855,0.023761,0.124595,0.05766,0.083776,0.26082,0.299942,0.065841,0.089443,0.04791,0.093433,0.044978,0.148921,0.048404,0.02232,0.051221,0.009673,0.000879,0.002531,0.000442,0.013026,0.001443,0.005231,0.031746,0.048827,0.00265,0.001867,0.000676,0.002685,0.00088,0.012223
91,Al0.2CoCrCuFeNiMnTiV,4258,161.1,135.34,62.69,0.3095,133.86,63.1,120.3,8.1,3.63,5.086,6.6,2,4.509,1.67,1.6906,1.763,1.571,4.056,0.403499,0.274699,0.432479,0.152996,0.057043,0.194025,0.043678,0.180452,0.088883,0.116145,0.413278,0.316228,0.070827,0.103888,0.090687,0.166186,0.086459,0.174546,0.060228,0.039459,0.065919,0.010335,0.000971,0.027155,0.000926,0.010931,0.002459,0.007974,0.059137,0.025,0.002021,0.001897,0.003318,0.015008,0.002548,0.009547
92,Al0.75CoCrCu0.25FeNiTi0.5,5548,189.4545,149.7909,74.33636,0.295909,131.9364,61.36364,118.9091,7.668636,3.690909,5.231364,7.272727,1.909091,4.670455,1.736364,1.733136,1.741818,1.609091,4.190909,0.343252,0.23878,0.367416,0.149634,0.059369,0.144222,0.043544,0.186556,0.084168,0.102752,0.347311,0.312259,0.068872,0.09597,0.085568,0.108622,0.080702,0.098592,0.053648,0.033523,0.057089,0.015252,0.001018,0.014462,0.001091,0.013407,0.001906,0.006652,0.045249,0.044321,0.001916,0.002283,0.003568,0.006542,0.002867,0.004898
93,AlCoCrFeNiTi0.5,6020,186.7273,146.9455,73.32727,0.296364,132.6364,59.27273,119.2727,7.8,3.659091,5.150909,6.909091,2,4.653636,1.718182,1.722364,1.767273,1.596364,4.186364,0.367518,0.265104,0.390446,0.151087,0.061182,0.084842,0.044522,0.192834,0.079852,0.111006,0.36748,0.301511,0.071301,0.098702,0.085945,0.070924,0.080898,0.100647,0.070132,0.041907,0.07486,0.015356,0.001036,0.004446,0.001014,0.013493,0.001963,0.008004,0.055055,0,0.00187,0.00252,0.003271,0.00315,0.00263,0.006502
94,AlCoCrFeNiTi,5404,180.8333,143.7333,71.01667,0.298333,133.7667,60,120.3333,8.036667,3.616667,5.123333,6.666667,2,4.626667,1.7,1.693833,1.775,1.573333,4.241667,0.37908,0.269868,0.400786,0.145359,0.06449,0.089753,0.051377,0.204077,0.086582,0.108333,0.384057,0.288675,0.071333,0.101885,0.100607,0.069134,0.092374,0.104475,0.060736,0.035756,0.065555,0.014481,0.001393,0.004583,0.001504,0.01581,0.002601,0.007045,0.04875,0,0.002007,0.00173,0.00561,0.002666,0.004309,0.006706
95,Al2Cr2Fe5.3Ni0.7,5097,195.63,144.251,76.55,0.2874,132.084,57.8,118.13,7.665,3.641,5.1176,6.74,2,4.5015,1.707,1.7382,1.7363,1.5977,4.0772,0.349441,0.241255,0.373588,0.156431,0.049836,0.070405,0.029969,0.153504,0.054183,0.106278,0.31447,0.316228,0.044013,0.078708,0.05185,0.077551,0.048955,0.08691,0.082445,0.043444,0.086521,0.014462,0.001241,0.003612,0.000676,0.017916,0.000978,0.00838,0.059171,0,0.001453,0.002155,0.000572,0.0046,0.001166,0.005675
