No.,Alloys,¦¤Hsss£¬MPa,E,K,G,¦Í,Rm,Ri,Rc,Vm,Hs,Hc,VEC,e/a,Ew,Xp,Xa,Xm,Xr,Ec,¦ÄE,¦ÄK,¦ÄG,¦Ä¦Í,¦ÄRm,¦ÄRi,¦ÄRc,¦ÄVm,¦ÄHs,¦ÄHc,¦ÄVEC,¦Äe/a,¦ÄEw,¦ÄXp,¦ÄXa,¦ÄXm,¦ÄXr,¦ÄEc,¦¤E,¦¤K,¦¤G,¦¤¦Í,¦¤Rm,¦¤Ri,¦¤Rc,¦¤Vm,¦¤Hs,¦¤Hc,¦¤VEC,¦¤e/a,¦¤ew,¦¤Xp,¦¤Xa,¦¤Xm,¦¤Xr,¦¤Ec
131,HfNbTaTiZr,2121,110.6,134.76,48.66,0.354,151.58,76.4,137.8,11.956,3.18,7.332,4.4,1.8,4.166,1.46,1.322,1.852,1.266,6.642,0.375486,0.304698,0.259342,0.079096,0.040788,0.05771,0.040117,0.122271,0.035299,0.241375,0.11134,0.222222,0.039606,0.06985,0.065666,0.067215,0.038242,0.170238,0.092476,0.0344,0.034845,0.003064,0.000448,0.002405,0.000394,0.004249,0.000623,0.02199,0.002066,0.037037,0.000734,0.002252,0.003003,0.001844,0.000349,0.014373
132,MoNbTiVTaW,3545,212.5,200.8667,80.86667,0.336667,142.5167,72.83333,130.1667,9.915,3.475,7.143333,5.166667,1.666667,4.388333,1.616667,1.433333,1.963333,1.338333,6.925,0.549083,0.334657,0.570858,0.11715,0.031558,0.063622,0.031494,0.094481,0.115333,0.276006,0.133003,0.282843,0.030726,0.066012,0.044247,0.06963,0.052732,0.209446,0.142837,0.050018,0.158559,0.005882,0.00049,0.00178,0.000656,0.003977,0.010558,0.023841,0.008325,0.02,0.000358,0.002126,0.000714,0.002825,0.001154,0.014926
133,Mo0.3NbTiVZr,3268,119.9302,140.6651,47.08837,0.354186,146.4651,72.67442,132.9535,10.84279,3.205814,5.824186,4.604651,1.697674,4.269767,1.544186,1.414186,1.951628,1.304651,6.052558,0.510422,0.328216,0.468155,0.089331,0.060903,0.082545,0.059798,0.184145,0.04284,0.149969,0.133624,0.270526,0.033212,0.06885,0.053272,0.095675,0.068264,0.169315,0.211771,0.047696,0.193936,0.003518,0.002044,0.002522,0.001897,0.019968,0.000888,0.004228,0.004692,0.031901,0.000604,0.001837,0.001558,0.004395,0.002886,0.01437
134,Mo0.5NbTiVZr,3853,129.2222,146.0222,50.57778,0.352222,146.1778,72.77778,132.7778,10.77778,3.216667,5.875556,4.666667,1.666667,4.284444,1.555556,1.416667,1.951111,1.304444,6.086667,0.570617,0.352791,0.532787,0.091537,0.060344,0.080844,0.058852,0.183239,0.044572,0.150865,0.142857,0.282843,0.036043,0.074915,0.052613,0.093557,0.066745,0.166621,0.265549,0.067633,0.243159,0.003821,0.002045,0.002434,0.001875,0.020105,0.000913,0.005048,0.007937,0.026667,0.000662,0.002562,0.001417,0.004217,0.002766,0.013038
135,Mo0.7NbTiVZr,4602,137.7234,150.9234,53.77021,0.350426,145.9149,72.87234,132.617,10.7183,3.226596,5.922553,4.723404,1.638298,4.297872,1.565957,1.418936,1.950638,1.304255,6.117872,0.600149,0.367804,0.565492,0.093255,0.059766,0.079242,0.057942,0.182205,0.045864,0.151209,0.149398,0.293288,0.038154,0.079341,0.051956,0.091574,0.065322,0.164,0.286221,0.079048,0.262104,0.00407,0.002038,0.002356,0.00185,0.020178,0.000939,0.005686,0.01015,0.021926,0.000736,0.003226,0.001295,0.004053,0.002655,0.011888
136,Mo1.3NbTiVZr,3852,159.3774,163.4075,61.90189,0.345849,145.2453,73.11321,132.2075,10.56679,3.251887,6.042264,4.867925,1.566038,4.332075,1.592453,1.424717,1.949434,1.303774,6.197358,0.618957,0.384781,0.590885,0.096379,0.057995,0.074945,0.055415,0.178608,0.048065,0.150184,0.15981,0.31648,0.041939,0.086987,0.050034,0.086306,0.061545,0.156627,0.270519,0.087642,0.248345,0.004572,0.001992,0.00216,0.001766,0.020141,0.001091,0.006861,0.013127,0.017556,0.000938,0.004162,0.00101,0.003629,0.002371,0.009242
137,NbTiV0.3Zr,1840,99.21212,126.0303,40.03333,0.354848,149.5697,74.09091,135.6364,11.51091,3.163636,5.898182,4.393939,1.69697,4.233333,1.509091,1.384545,1.895758,1.274242,6.140303,0.21761,0.272418,0.119933,0.092332,0.051952,0.076232,0.051234,0.155495,0.039348,0.143463,0.111204,0.270817,0.028706,0.054992,0.042043,0.086706,0.055088,0.177675,0.028961,0.03154,0.004646,0.00474,0.001427,0.001581,0.0014,0.013338,0.000805,0.007923,0.004036,0.048218,0.000546,0.001573,0.001,0.003123,0.001364,0.016332
138,Mo0.1NbTiV0.3Zr,2043,105.9706,130.0059,42.55,0.353529,149.2882,74.11765,135.4412,11.44824,3.172059,5.93,4.441176,1.676471,4.244118,1.517647,1.387059,1.897059,1.275,6.160294,0.417747,0.313928,0.357492,0.093785,0.052411,0.075104,0.051221,0.157208,0.041562,0.143918,0.124426,0.279052,0.031762,0.062858,0.042635,0.085453,0.054347,0.175468,0.130254,0.025861,0.111208,0.00489,0.00149,0.002,0.001432,0.013985,0.000851,0.009383,0.00326,0.044602,0.0006,0.001728,0.000929,0.003159,0.001651,0.01534
139,Mo0.3NbTiV0.3Zr,3273,118.3611,137.2944,47.16389,0.351111,148.7722,74.16667,135.0833,11.33333,3.1875,5.988333,4.527778,1.638889,4.263889,1.533333,1.391667,1.899444,1.276389,6.196944,0.564283,0.362444,0.510815,0.096064,0.053074,0.07299,0.051091,0.159888,0.044884,0.144207,0.142432,0.293078,0.036187,0.073721,0.043495,0.083103,0.052949,0.17126,0.263813,0.065977,0.230471,0.005144,0.00159,0.00191,0.001479,0.015062,0.000923,0.008923,0.007904,0.038168,0.000693,0.002389,0.000804,0.003025,0.001513,0.013617
140,Mo0.5NbTiV0.3Zr,3212,129.4474,143.8158,51.29211,0.348947,148.3105,74.21053,134.7632,11.23053,3.201316,6.040526,4.605263,1.605263,4.281579,1.547368,1.395789,1.901579,1.277632,6.229737,0.619858,0.387856,0.57062,0.097691,0.053475,0.071046,0.050856,0.16178,0.047195,0.143896,0.153862,0.304495,0.039212,0.080849,0.044031,0.080936,0.051652,0.167312,0.312681,0.08689,0.275524,0.00546,0.001664,0.001828,0.00151,0.015901,0.000973,0.009535,0.011489,0.032638,0.000768,0.003416,0.000749,0.002903,0.001397,0.012906
141,Mo0.7NbTiV0.3Zr,3637,139.425,149.685,55.0075,0.347,147.895,74.25,134.475,11.138,3.21375,6.0875,4.675,1.575,4.2975,1.56,1.3995,1.9035,1.27875,6.25925,0.641828,0.401416,0.596349,0.098827,0.053683,0.069249,0.050545,0.163065,0.048827,0.143177,0.161405,0.313869,0.04136,0.085763,0.044335,0.07893,0.050444,0.163603,0.32303,0.096897,0.286501,0.00573,0.001717,0.001754,0.001528,0.016547,0.001052,0.009952,0.013695,0.02786,0.000867,0.004093,0.000793,0.002793,0.001297,0.012672
142,MoNbTiV0.3Zr,3670,152.6512,157.4651,59.93256,0.344419,147.3442,74.30233,134.093,11.01535,3.230233,6.149767,4.767442,1.534884,4.318605,1.576744,1.404419,1.906047,1.280233,6.298372,0.647896,0.409873,0.607226,0.099855,0.053733,0.066792,0.049983,0.16414,0.050422,0.141606,0.168275,0.324964,0.043523,0.090561,0.044488,0.076181,0.04878,0.158444,0.308548,0.100927,0.275793,0.006018,0.001767,0.001653,0.001538,0.017237,0.001149,0.010319,0.015378,0.021836,0.000986,0.004647,0.000837,0.002644,0.001171,0.012284
